properties{
  x = 0,
  y = 0,
  width = 960,
  height = 768,
  min_layer = -2,
  max_layer = 2,
  tileset = "out/outside",
}

dynamic_tile{
  layer = 0,
  x = 704,
  y = 264,
  pattern = "112",
  width = 48,
  height = 8,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 768,
  y = 280,
  pattern = "112",
  width = 96,
  height = 8,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 704,
  y = 288,
  pattern = "934",
  width = 16,
  height = 16,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 736,
  y = 304,
  pattern = "112",
  width = 80,
  height = 8,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 864,
  y = 272,
  pattern = "112",
  width = 16,
  height = 16,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 880,
  y = 256,
  pattern = "111",
  width = 16,
  height = 16,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 944,
  y = 256,
  pattern = "111",
  width = 16,
  height = 64,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 944,
  y = 304,
  pattern = "936",
  width = 16,
  height = 16,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 704,
  y = 416,
  pattern = "112",
  width = 160,
  height = 64,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 848,
  y = 432,
  pattern = "1340",
  width = 16,
  height = 8,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 720,
  y = 416,
  pattern = "1340",
  width = 112,
  height = 8,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 688,
  y = 432,
  pattern = "1340",
  width = 16,
  height = 8,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 696,
  y = 464,
  pattern = "1340",
  width = 176,
  height = 8,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 720,
  y = 400,
  pattern = "1814",
  width = 112,
  height = 16,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 720,
  y = 416,
  pattern = "918",
  width = 112,
  height = 16,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 704,
  y = 272,
  pattern = "112",
  width = 64,
  height = 16,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 832,
  y = 304,
  pattern = "112",
  width = 16,
  height = 16,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 720,
  y = 288,
  pattern = "112",
  width = 128,
  height = 16,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 848,
  y = 288,
  pattern = "112",
  width = 48,
  height = 32,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 896,
  y = 304,
  pattern = "112",
  width = 48,
  height = 16,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 888,
  y = 192,
  pattern = "111",
  width = 8,
  height = 8,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 656,
  y = 280,
  pattern = "111",
  width = 32,
  height = 8,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 888,
  y = 192,
  pattern = "111",
  width = 72,
  height = 64,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 704,
  y = 304,
  pattern = "111",
  width = 16,
  height = 16,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 688,
  y = 272,
  pattern = "111",
  width = 16,
  height = 16,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 880,
  y = 192,
  pattern = "1754",
  width = 80,
  height = 8,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 704,
  y = 472,
  pattern = "112",
  width = 24,
  height = 8,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 768,
  y = 272,
  pattern = "1706",
  width = 96,
  height = 16,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 720,
  y = 296,
  pattern = "1751",
  width = 16,
  height = 8,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 720,
  y = 304,
  pattern = "1752",
  width = 16,
  height = 8,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 704,
  y = 304,
  pattern = "1759",
  width = 16,
  height = 16,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 832,
  y = 304,
  pattern = "1760",
  width = 16,
  height = 16,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 864,
  y = 272,
  pattern = "1705",
  width = 16,
  height = 16,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 880,
  y = 256,
  pattern = "1705",
  width = 16,
  height = 16,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 880,
  y = 240,
  pattern = "1714",
  width = 16,
  height = 16,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 864,
  y = 256,
  pattern = "1704",
  width = 16,
  height = 16,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 656,
  y = 272,
  pattern = "1706",
  width = 32,
  height = 16,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 688,
  y = 272,
  pattern = "1705",
  width = 16,
  height = 16,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 704,
  y = 256,
  pattern = "1706",
  width = 48,
  height = 16,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 752,
  y = 272,
  pattern = "1707",
  width = 16,
  height = 16,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 816,
  y = 296,
  pattern = "1751",
  width = 16,
  height = 8,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 816,
  y = 304,
  pattern = "1752",
  width = 16,
  height = 8,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 736,
  y = 304,
  pattern = "1768",
  width = 8,
  height = 8,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 736,
  y = 296,
  pattern = "14800",
  width = 8,
  height = 8,
  enabled_at_start = true,
}

dynamic_tile{
  layer = 0,
  x = 808,
