properties{
  x = 2880,
  y = 0,
  width = 960,
  height = 768,
  min_layer = 0,
  max_layer = 2,
  world = "outside_world",
  tileset = "out/outside",
}

tile{
  layer = 0,
  x = 672,
  y = 208,
  width = 128,
  height = 16,
  pattern = "1703",
}

tile{
  layer = 0,
  x = 872,
  y = 176,
  width = 8,
  height = 48,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 848,
  y = 224,
  width = 32,
  height = 32,
  pattern = "1680",
}

tile{
  layer = 0,
  x = 368,
  y = 288,
  width = 16,
  height = 16,
  pattern = "1680",
}

tile{
  layer = 0,
  x = 752,
  y = 288,
  width = 16,
  height = 16,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 672,
  y = 288,
  width = 16,
  height = 16,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 768,
  y = 288,
  width = 112,
  height = 16,
  pattern = "1680",
}

tile{
  layer = 0,
  x = 768,
  y = 296,
  width = 112,
  height = 8,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 640,
  y = 272,
  width = 16,
  height = 32,
  pattern = "1680",
}

tile{
  layer = 0,
  x = 656,
  y = 272,
  width = 16,
  height = 32,
  pattern = "1680",
}

tile{
  layer = 0,
  x = 576,
  y = 288,
  width = 64,
  height = 16,
  pattern = "1680",
}

tile{
  layer = 0,
  x = 384,
  y = 272,
  width = 192,
  height = 32,
  pattern = "1680",
}

tile{
  layer = 0,
  x = 384,
  y = 296,
  width = 288,
  height = 8,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 208,
  y = 296,
  width = 672,
  height = 8,
  pattern = "1751",
}

tile{
  layer = 0,
  x = 208,
  y = 304,
  width = 672,
  height = 8,
  pattern = "1752",
}

tile{
  layer = 0,
  x = 64,
  y = 312,
  width = 816,
  height = 8,
  pattern = "1701",
}

tile{
  layer = 0,
  x = 384,
  y = 288,
  width = 16,
  height = 16,
  pattern = "1705",
}

tile{
  layer = 0,
  x = 320,
  y = 288,
  width = 16,
  height = 16,
  pattern = "1707",
}

tile{
  layer = 0,
  x = 640,
  y = 128,
  width = 16,
  height = 16,
  pattern = "1680",
}

tile{
  layer = 0,
  x = 560,
  y = 112,
  width = 288,
  height = 16,
  pattern = "1680",
}

tile{
  layer = 0,
  x = 704,
  y = 128,
  width = 16,
  height = 16,
  pattern = "1680",
}

tile{
  layer = 0,
  x = 528,
  y = 96,
  width = 336,
  height = 16,
  pattern = "1680",
}

tile{
  layer = 0,
  x = 664,
  y = 120,
  width = 32,
  height = 8,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 728,
  y = 120,
  width = 120,
  height = 8,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 720,
  y = 120,
  width = 8,
  height = 16,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 696,
  y = 120,
  width = 8,
  height = 16,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 656,
  y = 120,
  width = 8,
  height = 16,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 632,
  y = 120,
  width = 8,
  height = 16,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 560,
  y = 120,
  width = 80,
  height = 8,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 728,
  y = 128,
  width = 128,
  height = 8,
  pattern = "1752",
}

tile{
  layer = 0,
  x = 728,
  y = 120,
  width = 128,
  height = 8,
  pattern = "1751",
}

tile{
  layer = 0,
  x = 528,
  y = 64,
  width = 384,
  height = 32,
  pattern = "1680",
}

tile{
  layer = 0,
  x = 528,
  y = 64,
  width = 384,
  height = 8,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 520,
  y = 64,
  width = 8,
  height = 48,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 528,
  y = 104,
  width = 24,
  height = 8,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 848,
  y = 112,
  width = 16,
  height = 16,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 856,
  y = 104,
  width = 8,
  height = 8,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 864,
  y = 96,
  width = 16,
  height = 16,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 872,
  y = 88,
  width = 40,
  height = 8,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 912,
  y = 64,
  width = 8,
  height = 32,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 880,
  y = 176,
  width = 32,
  height = 96,
  pattern = "1680",
}

tile{
  layer = 0,
  x = 904,
  y = 264,
  width = 8,
  height = 8,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 816,
  y = 272,
  width = 80,
  height = 16,
  pattern = "1680",
}

tile{
  layer = 0,
  x = 888,
  y = 280,
  width = 8,
  height = 8,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 880,
  y = 288,
  width = 16,
  height = 16,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 896,
  y = 272,
  width = 16,
  height = 16,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 912,
  y = 176,
  width = 8,
  height = 96,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 640,
  y = 264,
  width = 16,
  height = 8,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 560,
  y = 264,
  width = 16,
  height = 8,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 528,
  y = 248,
  width = 16,
  height = 8,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 400,
  y = 264,
  width = 48,
  height = 8,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 392,
  y = 256,
  width = 8,
  height = 16,
  pattern = "1682",
}

tile{
  layer = 0,
  x = 480,
  y = 256,
  width = 64,
  height = 16,
  pattern = "1680",
}

tile{
  layer = 0,
  x = 480,
  y = 224,
  width = 16,
  height = 32,
  pattern = "1680",
}

tile{
  layer = 0,
  x = 496,
  y = 224,
  width = 32,
  height = 32,
  pattern = "1680",
}

tile{
  layer = 0,
  x = 480,
  y = 224,
  width = 32,
  height = 8,
  pattern = "1754",
}

tile{
  layer = 0,
  x = 688,
  y = 240,
  width = 64,
  height = 16,
  pattern = "1680",
}

tile{
  layer = 0,
  x = 672,
  y = 240,
  width = 16,
  height = 16,
  pattern = "1682",
}

tile{
